voice,seed,score,presentation,tabletop,casual,separation,upper_arm_opening,path
gb_sonia,0,3.966189189258194,-4.659395694732666,-2.674403667449951,0.317515105009079,0.59830308953921,0.3084011872609456,casbot_w1/tts_search/sequences/gb_sonia__seed0.npz
us_ava,0,2.205409035480599,-4.805569648742676,-2.5300278663635254,-2.956956386566162,0.5231897433598837,0.27748657763004303,casbot_w1/tts_search/sequences/us_ava__seed0.npz
us_andrew,0,1.2256082328975597,-4.760382175445557,-2.425745725631714,-5.838183403015137,0.47774723172187805,0.3459290365378062,casbot_w1/tts_search/sequences/us_andrew__seed0.npz
us_brian,0,0.8741652729183436,-4.692075729370117,-2.5978760719299316,-6.932060718536377,0.5787300566832224,0.370513916015625,casbot_w1/tts_search/sequences/us_brian__seed0.npz
neerja_expressive,0,-0.04083234839252742,-4.303660869598389,-3.1507568359375,-4.238601207733154,0.5697073737780253,0.25796663264433545,casbot_w1/tts_search/sequences/neerja_expressive__seed0.npz
gb_thomas,0,-0.2375068291059126,-5.4603471755981445,-2.6047449111938477,-5.196244716644287,0.6225806474685669,0.39594700932502747,casbot_w1/tts_search/sequences/gb_thomas__seed0.npz
ca_liam,0,-0.616220765021178,-5.343295097351074,-2.6633408069610596,-5.154107570648193,0.5787081122398376,0.3841182092825572,casbot_w1/tts_search/sequences/ca_liam__seed0.npz
ie_emily,0,-1.1097471894849171,-4.727879047393799,-2.6645147800445557,-7.490881443023682,0.443630188703537,0.35114799936612445,casbot_w1/tts_search/sequences/ie_emily__seed0.npz
us_aria,0,-1.176376087895982,-5.136472225189209,-2.633875608444214,-6.302381992340088,0.48954124252001446,0.2838192631800969,casbot_w1/tts_search/sequences/us_aria__seed0.npz
us_roger,0,-1.2295699340032087,-4.752452373504639,-2.8355915546417236,-7.368266582489014,0.5393845637639364,0.39187243580818176,casbot_w1/tts_search/sequences/us_roger__seed0.npz
au_william,0,-1.6480819002197014,-5.4399094581604,-2.776336669921875,-4.486827373504639,0.5355401933193207,0.40393465757369995,casbot_w1/tts_search/sequences/au_william__seed0.npz
ng_ezinne,0,-2.2130366764312837,-4.8910722732543945,-2.7643024921417236,-8.052886009216309,0.4656297067801158,0.2956347515185674,casbot_w1/tts_search/sequences/ng_ezinne__seed0.npz
